Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.apache.velocity:velocity-engine-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.velocity:velocity-engine-core:2.4.1,gav://org.apache.velocity:velocity-engine-core,2.4.1
org.apache.wss4j:wss4j-ws-security-common,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.wss4j:wss4j-ws-security-common:3.0.3,gav://org.apache.wss4j:wss4j-ws-security-common,3.0.3
org.apache.wss4j:wss4j-ws-security-dom,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.wss4j:wss4j-ws-security-dom:3.0.3,gav://org.apache.wss4j:wss4j-ws-security-dom,3.0.3
org.aspectj:aspectjweaver,EPL-2.0,https://spdx.org/licenses/EPL-2.0,maven,org.aspectj:aspectjweaver:1.9.22.1,gav://org.aspectj:aspectjweaver,1.9.22.1
org.bouncycastle:bcpkix-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcpkix-jdk18on:1.79,gav://org.bouncycastle:bcpkix-jdk18on,1.79
org.bouncycastle:bcprov-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcprov-jdk18on:1.79,gav://org.bouncycastle:bcprov-jdk18on,1.79
org.bouncycastle:bcutil-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcutil-jdk18on:1.79,gav://org.bouncycastle:bcutil-jdk18on,1.79
org.checkerframework:checker-qual,MIT,http://www.opensource.org/licenses/MIT,maven,org.checkerframework:checker-qual:3.43.0,gav://org.checkerframework:checker-qual,3.43.0
org.cryptacular:cryptacular,"Apache-2.0,LGPL-3.0-only","http://licenses.nuget.org/Apache-2.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html",maven,org.cryptacular:cryptacular:1.2.6,gav://org.cryptacular:cryptacular,1.2.6
org.eclipse.angus:angus-activation,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.eclipse.angus:angus-activation:2.0.2,gav://org.eclipse.angus:angus-activation,2.0.2
org.eclipse.jgit:org.eclipse.jgit,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.eclipse.jgit:org.eclipse.jgit:6.10.0.202406032230-r,gav://org.eclipse.jgit:org.eclipse.jgit,6.10.0.202406032230-r
org.eclipse.jgit:org.eclipse.jgit.ssh.apache,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.eclipse.jgit:org.eclipse.jgit.ssh.apache:6.10.0.202406032230-r,gav://org.eclipse.jgit:org.eclipse.jgit.ssh.apache,6.10.0.202406032230-r
org.ehcache.modules:ehcache-107,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-107:3.10.8,gav://org.ehcache.modules:ehcache-107,3.10.8
org.ehcache.modules:ehcache-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-api:3.10.8,gav://org.ehcache.modules:ehcache-api,3.10.8
org.ehcache.modules:ehcache-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-core:3.10.8,gav://org.ehcache.modules:ehcache-core,3.10.8
org.ehcache.modules:ehcache-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-impl:3.10.8,gav://org.ehcache.modules:ehcache-impl,3.10.8
org.ehcache.modules:ehcache-xml,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-xml:3.10.8,gav://org.ehcache.modules:ehcache-xml,3.10.8
org.ehcache.modules:ehcache-xml-spi,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache.modules:ehcache-xml-spi:3.10.8,gav://org.ehcache.modules:ehcache-xml-spi,3.10.8
org.ehcache:ehcache,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache:ehcache:3.10.8,gav://org.ehcache:ehcache,3.10.8
org.ehcache:sizeof,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.ehcache:sizeof:0.4.3,gav://org.ehcache:sizeof,0.4.3
org.flywaydb:flyway-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.flywaydb:flyway-core:10.20.1,gav://org.flywaydb:flyway-core,10.20.1
org.flywaydb:flyway-mysql,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.flywaydb:flyway-mysql:10.20.1,gav://org.flywaydb:flyway-mysql,10.20.1
org.glassfish.jaxb:jaxb-core,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.glassfish.jaxb:jaxb-core:4.0.5,gav://org.glassfish.jaxb:jaxb-core,4.0.5
org.glassfish.jaxb:jaxb-runtime,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.glassfish.jaxb:jaxb-runtime:4.0.5,gav://org.glassfish.jaxb:jaxb-runtime,4.0.5
org.glassfish.jaxb:txw2,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.glassfish.jaxb:txw2:4.0.5,gav://org.glassfish.jaxb:txw2,4.0.5
